pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp1-hp3,mpls,cell-01,2,tcp,0,60,lo,10.10.43.5,16857.4,14349,8.92,23.56,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-01,3,tcp,0,60,lo,10.10.43.5,17101.5,16818,8.99,23.72,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-02,1,tcp,1,60,lo,10.10.43.5,15691.4,29582,8.22,22.26,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-02,2,tcp,1,60,lo,10.10.43.5,16779.9,14746,9.08,23.35,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-02,3,tcp,1,60,lo,10.10.43.5,16776.8,9192,9.41,23.31,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-03,1,udp,0,60,lo,10.10.43.5,6439.6,0,4.62,10.53,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-03,2,udp,0,60,lo,10.10.43.5,6582.0,0,5.08,11.24,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-03,3,udp,0,60,lo,10.10.43.5,6580.5,0,4.76,11.22,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-04,1,udp,1,60,lo,10.10.43.5,6434.1,0,4.87,10.54,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-04,2,udp,1,60,lo,10.10.43.5,6459.0,0,4.82,11.14,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-04,3,udp,1,60,lo,10.10.43.5,6547.9,0,5.01,11.20,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-01,1,tcp,0,60,ipip0,10.10.42.5,11200.3,378,11.56,13.92,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-01,2,tcp,0,60,ipip0,10.10.42.5,11047.4,981,11.73,14.16,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-01,3,tcp,0,60,ipip0,10.10.42.5,10967.3,800,11.73,13.71,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-02,1,tcp,1,60,ipip0,10.10.42.5,10923.6,650,11.83,14.09,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-02,2,tcp,1,60,ipip0,10.10.42.5,11221.2,848,11.55,14.18,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-02,3,tcp,1,60,ipip0,10.10.42.5,10970.3,920,11.85,13.57,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-03,1,udp,0,60,ipip0,10.10.42.5,7128.1,0,10.51,13.48,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-03,2,udp,0,60,ipip0,10.10.42.5,6763.8,0,10.73,13.22,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-03,3,udp,0,60,ipip0,10.10.42.5,6796.4,0,10.95,13.20,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-04,1,udp,1,60,ipip0,10.10.42.5,6785.5,0,11.02,13.24,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-04,2,udp,1,60,ipip0,10.10.42.5,6698.7,0,11.07,13.17,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-04,3,udp,1,60,ipip0,10.10.42.5,6759.8,0,11.03,13.21,1,1,1,1,yes,ok
hp1-hp3,gre,cell-01,1,tcp,0,60,gretest0,10.10.44.5,10955.8,695,11.46,14.57,1,1,1,1,yes,ok
hp1-hp3,gre,cell-01,2,tcp,0,60,gretest0,10.10.44.5,10896.0,648,11.52,13.95,1,1,1,1,yes,ok
hp1-hp3,gre,cell-01,3,tcp,0,60,gretest0,10.10.44.5,10868.4,1253,11.52,14.07,1,1,1,1,yes,ok
hp1-hp3,gre,cell-02,1,tcp,1,60,gretest0,10.10.44.5,10773.6,649,11.51,14.11,1,1,1,1,yes,ok
hp1-hp3,gre,cell-02,2,tcp,1,60,gretest0,10.10.44.5,11108.4,515,11.22,14.62,1,1,1,1,yes,ok
hp1-hp3,gre,cell-02,3,tcp,1,60,gretest0,10.10.44.5,10902.9,420,11.39,14.90,1,1,1,1,yes,ok
